подвес,,кольцо,,диск,,кольцо+диск,,брусок горизонт,,брусок вертик,,раздв диск,,
N,"T, с",N,"T, с",N,"T, с",N,"T, с",N,"T, с",N,"T, с",N,"T, с",delta h
10,44.702,10,41.705,10,39.078,10,38.947,10,37.154,10,29.829,10,41.889,12
12,53.272,10,41.681,10,39.1,10,38.932,10,37.129,10,29.78,10,30.336,1
15,66.091,10,41.638,10,39.044,10,38.928,10,37.163,10,29714,10,30.394,1
10,43.978,10,41.676,10,39.016,10,38.916,,,,,10,30.345,1
10,43.91,10,41.593,10,39.013,10,38.913,,,,,10,28.862,0.5
10,43.862,,,,,,,,,,,10,28.839,0.5
10,43.828,,,,,,,,,,,10,30.357,1
10,43.776,,,,,,,,,,,10,30.349,1
11,48.132,,,,,,,,,,,10,30.317,1
10,43.698,,,,,,,,,,,10,30.631,2
10,43.985,,,,,,,,,,,10,30.615,2
20,85.395,,,,,,,,,,,10,30.599,2
,,,,,,,,,,,,10,30.985,3
,,,,,,,,,,,,10,30.99,3
,,,,,,,,,,,,10,30.903,3
,,,,,,,,,,,,10,31.45,4
,,,,,,,,,,,,10,31.433,4
,,,,,,,,,,,,10,31.429,4
,,,,,,,,,,,,10,31.984,5
,,,,,,,,,,,,10,31.97,5
,,,,,,,,,,,,10,31.964,5
,,,,,,,,,,,,10,32.606,6
,,,,,,,,,,,,10,32.555,6
,,,,,,,,,,,,10,32.548,6
,,,,,,,,,,,,10,33.424,7
,,,,,,,,,,,,10,33.364,7
,,,,,,,,,,,,10,33.369,7
,,,,,,,,,,,,10,34.252,8
,,,,,,,,,,,,10,34.283,8
,,,,,,,,,,,,10,34.231,8
,,,,,,,,,,,,10,35.248,9
,,,,,,,,,,,,10,35.234,9
,,,,,,,,,,,,10,35.266,9
